Character,Kategorie,Talent,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW
Bargaan Treuwall,Kampfprobe,Sturmangriff,6,1,10,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,7,0,-3,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,7,1,0,22
Bargaan Treuwall,Kampfprobe,Nahkampfparade,4,0,-5,18
Bargaan Treuwall,Kampfprobe,Finte m. SF,6,1,14,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,10,1,5,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,5,1,5,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,2,1,11,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,3,1,3,22
Bargaan Treuwall,Kampfprobe,Gegenhalten,4,1,16,22
Bargaan Treuwall,Kampfprobe,Finte m. SF,6,1,13,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,6,1,6,22
Bargaan Treuwall,Kampfprobe,Gegenhalten,4,1,10,22
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,10,14
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-6,1,1,8
Elanor Walham,Kampfprobe,Nahkampfangriff,1,1,10,14
Elanor Walham,Kampfprobe,Nahkampfangriff,0,0,-6,14
Elanor Walham,Kampfprobe,Nahkampfangriff,1,1,2,14
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-8,1,12,8
Elanor Walham,Kampfprobe,Ausweichen,-8,0,-2,8
Elanor Walham,Kampfprobe,Ausweichen,-6,1,2,8
Elanor Walham,Kampfprobe,Ausweichen,-3,1,9,8
Elanor Walham,Kampfprobe,Fernkampfangriff,16,1,5,31
Elanor Walham,Kampfprobe,Fernkampfangriff,16,1,4,31
Elanor Walham,Kampfprobe,Fernkampfangriff,16,1,7,31
Elanor Walham,Kampfprobe,Fernkampfangriff,13,1,5,31
Playboy51,Kampfprobe,Nahkampfangriff,0,1,13,22
Playboy51,Kampfprobe,Nahkampfangriff,4,1,9,22
Playboy51,Kampfprobe,Nahkampfangriff,0,1,9,14
Playboy51,Kampfprobe,Nahkampfangriff,4,0,-3,14
Playboy51,Kampfprobe,Nahkampfangriff,0,1,9,14
Playboy51,Kampfprobe,Nahkampfangriff,4,0,-5,14
Playboy51,Kampfprobe,Nahkampfparade,4,0,-13,10
Playboy51,Kampfprobe,Nahkampfangriff,0,0,-3,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-12,1,17,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,4,14
Playboy51,Kampfprobe,Nahkampfangriff,0,0,-5,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,3,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,19,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-9,1,16,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,7,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,3,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-9,1,13,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,12,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-9,1,2,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,11,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-9,0,-1,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,2,14
Playboy51,Kampfprobe,Nahkampfangriff,0,1,10,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,4,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-6,1,14,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,6,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,6,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,8,14
Playboy51,Kampfprobe,Nahkampfparade,5,0,-15,10
Playboy51,Kampfprobe,Nahkampfangriff,6,0,-11,14
Playboy51,Kampfprobe,Nahkampfparade,3,0,-13,10
Playboy51,Kampfprobe,Nahkampfparade,1,0,-2,10
Playboy51,Kampfprobe,Nahkampfparade,0,0,-2,10
Playboy51,Kampfprobe,Nahkampfparade,3,1,2,10
Playboy51,Kampfprobe,Finte m. SF,6,0,-4,14
Playboy51,Kampfprobe,Wuchtschlag o. SF,6,0,-5,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-6,1,10,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-6,1,2,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-9,1,12,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-9,1,15,9
Playboy51,Kampfprobe,Wuchtschlag o. SF,8,1,5,14
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,8,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,6,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,11,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,12,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,11,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,20,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,2,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,11,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-13,1,14,9
Bargaan Treuwall,Kampfprobe,Nahkampfparade,4,0,-16,3
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-8,8
Bargaan Treuwall,Kampfprobe,Nahkampfparade,4,0,-4,8
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,3,15
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,5,15
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,2,15
Hanzo Shimada,Kampfprobe,Nahkampfparade,0,0,-5,12
Hanzo Shimada,Kampfprobe,Nahkampfparade,6,0,-2,12
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,1,0,18
Akira Masamune,Kampfprobe,Nahkampfangriff,0,1,10,19
Akira Masamune,Kampfprobe,Nahkampfparade,0,1,3,20
Akira Masamune,Kampfprobe,Nahkampfparade,0,1,17,20
Akira Masamune,Kampfprobe,Wuchtschlag m. SF,4,1,12,19
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,0,-1,18
Playboy51,Kampfprobe,Gezieltes Ausweichen,-6,1,13,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,3,14
Playboy51,Kampfprobe,Finte m. SF,4,0,-2,22
Playboy51,Kampfprobe,Gezieltes Ausweichen,-14,1,16,9
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,0,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,16,22
Playboy51,Kampfprobe,Nahkampfangriff,0,1,6,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,5,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,14,22
Playboy51,Kampfprobe,Nahkampfangriff,4,1,4,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,7,22
Playboy51,Kampfprobe,Nahkampfangriff,0,1,7,22
Playboy51,Kampfprobe,Nahkampfangriff,0,1,13,22
Walpurga Hausmännin,Kampfprobe,Ausweichen,0,1,6,7
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,1,20,23
Hanzo Shimada,Kampfprobe,Nahkampfparade,0,1,16,19
Hanzo Shimada,Kampfprobe,Hammerschlag,8,1,10,23
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,5,9
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,3,14
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,0,-1,14
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,0,-5,14
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,0,-4,14
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,6,14
Playboy51,Kampfprobe,Fernkampfangriff,12,1,3,31
Playboy51,Kampfprobe,Fernkampfangriff,13,1,12,31
Playboy51,Kampfprobe,Hammerschlag,8,1,3,22
Playboy51,Kampfprobe,Fernkampfangriff,14,1,1,31
Playboy51,Kampfprobe,Hammerschlag,8,1,11,22
Playboy51,Kampfprobe,Fernkampfangriff,15,1,8,31
Playboy51,Kampfprobe,Hammerschlag,8,1,0,22
Playboy51,Kampfprobe,Fernkampfangriff,15,1,13,31
Playboy51,Kampfprobe,Hammerschlag,8,1,8,22
Playboy51,Kampfprobe,Hammerschlag,8,1,6,22
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,13,14
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,4,7
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-5,7
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-5,7
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-10,7
Hanzo Shimada,Kampfprobe,Fernkampfangriff,12,1,12,27
Hanzo Shimada,Kampfprobe,Fernkampfangriff,5,1,5,27
Hanzo Shimada,Kampfprobe,Fernkampfangriff,9,1,3,27
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-9,7
Hanzo Shimada,Kampfprobe,Fernkampfangriff,5,1,2,27
Hanzo Shimada,Kampfprobe,Fernkampfangriff,9,1,6,27
Hanzo Shimada,Kampfprobe,Fernkampfangriff,5,1,16,27
Hanzo Shimada,Kampfprobe,Fernkampfangriff,9,1,16,27
Hanzo Shimada,Kampfprobe,Gezieltes Ausweichen,-1,0,-8,9
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,1,1,19
Bargaan Treuwall,Kampfprobe,Sturmangriff,4,1,7,22
Bargaan Treuwall,Kampfprobe,Sturmangriff,7,1,3,22
Playboy51,Kampfprobe,Fernkampfangriff,4,1,16,31
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,1,8,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,7,1,2,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,0,-2,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,1,9,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,0,-7,21
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,1,8,21
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,0,-6,21
Playboy51,Kampfprobe,Fernkampfangriff,6,1,10,31
Playboy51,Kampfprobe,Fernkampfangriff,11,1,17,31
Playboy51,Kampfprobe,Fernkampfangriff,16,1,12,31
Hanzo Shimada,Kampfprobe,Fernkampfangriff,9,1,11,27
Hanzo Shimada,Kampfprobe,Nahkampfangriff,3,0,-3,19
Hanzo Shimada,Kampfprobe,Nahkampfparade,3,1,2,13
Hanzo Shimada,Kampfprobe,Sturmangriff,4,1,8,21
Hanzo Shimada,Kampfprobe,Nahkampfangriff,3,1,14,19
Hanzo Shimada,Kampfprobe,Nahkampfparade,3,1,5,13
Hanzo Shimada,Kampfprobe,Wuchtschlag m. SF,4,1,8,21
Hanzo Shimada,Kampfprobe,Wuchtschlag m. SF,8,1,4,21
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,15,21
Playboy51,Kampfprobe,Nahkampfangriff,4,1,10,21
Playboy51,Kampfprobe,Sturmangriff,4,1,0,21
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,4,21
Playboy51,Kampfprobe,Nahkampfangriff,0,1,17,21
Playboy51,Kampfprobe,Wuchtschlag o. SF,8,1,0,21
Playboy51,Kampfprobe,Fernkampfangriff,11,1,1,31
Hanzo Shimada,Kampfprobe,Nahkampfparade,0,0,-3,13
Bargaan Treuwall,Kampfprobe,Fernkampfangriff,8,0,-8,17
Bargaan Treuwall,Kampfprobe,Fernkampfangriff,8,0,-10,17
Bargaan Treuwall,Kampfprobe,Fernkampfangriff,8,1,0,17
Playboy51,Kampfprobe,Gezieltes Ausweichen,-4,1,7,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-4,1,7,9
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,3,1,2,21
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,2,17
Bargaan Treuwall,Kampfprobe,Ausweichen,3,0,-10,9
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,8,17
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,1,17
Playboy51,Kampfprobe,Fernkampfangriff,12,0,-1,31
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,9,17
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-1,17
Playboy51,Kampfprobe,Gezieltes Ausweichen,-4,1,5,9
Playboy51,Kampfprobe,Wuchtschlag o. SF,6,0,-1,21
Playboy51,Kampfprobe,Nahkampfangriff,0,1,6,12
Playboy51,Kampfprobe,Gezieltes Ausweichen,-4,1,5,9
Playboy51,Kampfprobe,Wuchtschlag o. SF,8,0,-2,21
Playboy51,Kampfprobe,Wuchtschlag o. SF,5,1,0,21
Playboy51,Kampfprobe,Nahkampfangriff,0,1,19,21
Playboy51,Kampfprobe,Wuchtschlag m. SF,0,1,7,17
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,2,0,-4,17
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,1,17
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,2,1,1,17
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,-4,1,14,17
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,0,-3,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,1,0,22
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,3,17
Playboy51,Kampfprobe,Nahkampfparade,0,1,6,13
Playboy51,Kampfprobe,Wuchtschlag m. SF,2,1,0,17
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,4,1,12,22
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,4,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,2,0,-2,17
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,5,1,13,22
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,7,13
Bargaan Treuwall,Kampfprobe,Nahkampfparade,9,0,-1,18
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,2,0,-5,17
Playboy51,Kampfprobe,Fernkampfangriff,12,1,1,31
Playboy51,Kampfprobe,Fernkampfangriff,10,1,5,18
Playboy51,Kampfprobe,Fernkampfangriff,16,1,14,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,2,31
Walpurga Hausmännin,Kampfprobe,Nahkampfangriff,0,0,-5,4
Walpurga Hausmännin,Kampfprobe,Nahkampfangriff,0,0,-2,4
Walpurga Hausmännin,Kampfprobe,Nahkampfparade,0,0,-3,7
Walpurga Hausmännin,Kampfprobe,Nahkampfparade,0,0,-6,12
Playboy51,Kampfprobe,Fernkampfangriff,13,1,9,31
Playboy51,Kampfprobe,Fernkampfangriff,13,0,-1,31
Playboy51,Kampfprobe,Fernkampfangriff,14,1,16,31
Playboy51,Kampfprobe,Fernkampfangriff,15,1,8,31
Playboy51,Kampfprobe,Fernkampfangriff,15,1,12,31
Playboy51,Kampfprobe,Fernkampfangriff,14,1,9,31
Playboy51,Kampfprobe,Fernkampfangriff,14,1,16,31
Bargaan Treuwall,Kampfprobe,Sturmangriff,4,1,12,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,8,1,3,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,14,0,-3,22
Bargaan Treuwall,Kampfprobe,Hammerschlag,12,1,1,22
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,4,0,-13,0
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,4,0,-16,0
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,4,0,-15,0
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,3,0,-4,0
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,2,18
Bargaan Treuwall,Kampfprobe,Finte m. SF,7,1,9,22
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,13,18
Bargaan Treuwall,Kampfprobe,Finte m. SF,7,1,5,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,9,1,5,22
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,16,18
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,4,18
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,9,0,-3,22
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,0,18
Bargaan Treuwall,Kampfprobe,Hammerschlag,12,0,-6,22
Playboy51,Kampfprobe,Gezieltes Ausweichen,-4,0,-4,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-4,1,8,9
Playboy51,Kampfprobe,Nahkampfangriff,0,1,6,21
Playboy51,Kampfprobe,Fernkampfangriff,12,1,16,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,10,31
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,0,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,5,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,0,-1,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,10,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,0,-1,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,3,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,0,-1,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,2,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,6,9
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,4,9
Playboy51,Kampfprobe,Nahkampfangriff,0,0,-2,6
Playboy51,Kampfprobe,Fernkampfangriff,16,1,8,31
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,1,13,18
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,10,1,10,24
Bargaan Treuwall,Kampfprobe,Nahkampfparade,12,0,-6,18
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,10,1,8,24
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,5,1,6,22
Bargaan Treuwall,Kampfprobe,Finte m. SF,3,0,-1,22
Bargaan Treuwall,Kampfprobe,Finte m. SF,6,1,15,22
Bargaan Treuwall,Kampfprobe,Finte m. SF,4,1,12,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,5,1,4,22
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,4,1,7,22
Playboy51,Kampfprobe,Fernkampfangriff,15,0,-3,31
Playboy51,Kampfprobe,Fernkampfangriff,11,1,8,31
Playboy51,Kampfprobe,Fernkampfangriff,0,1,18,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,9,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,11,31
Playboy51,Kampfprobe,Fernkampfangriff,26,1,0,31
Playboy51,Kampfprobe,Fernkampfangriff,22,1,7,31
Playboy51,Kampfprobe,Fernkampfangriff,-4,1,27,31
Playboy51,Kampfprobe,Fernkampfangriff,16,1,14,31
Playboy51,Kampfprobe,Ausweichen,3,1,3,10
Playboy51,Kampfprobe,Fernkampfangriff,16,0,-4,29
Playboy51,Kampfprobe,Fernkampfangriff,14,1,12,29
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,17,25
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,8,1,9,25
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,8,0,-1,25
Bargaan Treuwall,Kampfprobe,Wuchtschlag m. SF,8,1,3,25
Bargaan Treuwall,Kampfprobe,Finte m. SF,7,1,13,25
Bargaan Treuwall,Kampfprobe,Gegenhalten,4,1,13,25
Bargaan Treuwall,Kampfprobe,Finte m. SF,12,1,2,25
Bargaan Treuwall,Kampfprobe,Gegenhalten,10,1,3,25
Bargaan Treuwall,Kampfprobe,Finte m. SF,12,1,12,25
Bargaan Treuwall,Kampfprobe,Finte m. SF,11,1,6,25
Bargaan Treuwall,Kampfprobe,Finte m. SF,11,1,0,25
Bargaan Treuwall,Kampfprobe,Finte m. SF,13,1,1,25
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,13,25
Bargaan Treuwall,Kampfprobe,Ausweichen,11,0,-10,10
Playboy51,Kampfprobe,Fernkampfangriff,6,1,11,31
Playboy51,Kampfprobe,Fernkampfangriff,18,1,12,31
Playboy51,Kampfprobe,Fernkampfangriff,27,0,-4,31
Playboy51,Kampfprobe,Fernkampfangriff,27,0,-13,31
Playboy51,Kampfprobe,Fernkampfangriff,27,0,-4,31
Playboy51,Kampfprobe,Fernkampfangriff,27,1,1,31
Playboy51,Kampfprobe,Fernkampfangriff,22,0,-8,31
Playboy51,Kampfprobe,Fernkampfangriff,22,0,-2,31
Playboy51,Kampfprobe,Fernkampfangriff,22,1,2,31
Playboy51,Kampfprobe,Fernkampfangriff,18,1,6,31
Playboy51,Kampfprobe,Fernkampfangriff,18,0,-3,31
Playboy51,Kampfprobe,Fernkampfangriff,18,1,9,31
Playboy51,Kampfprobe,Fernkampfangriff,18,0,-2,31
Playboy51,Kampfprobe,Fernkampfangriff,17,1,11,31
Playboy51,Kampfprobe,Fernkampfangriff,17,0,-3,31
Playboy51,Kampfprobe,Fernkampfangriff,16,0,-5,31
Playboy51,Kampfprobe,Fernkampfangriff,16,1,10,31
Playboy51,Kampfprobe,Fernkampfangriff,16,0,-5,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,6,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,10,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,12,31
Playboy51,Kampfprobe,Fernkampfangriff,12,1,1,31
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-9,7
Playboy51,Kampfprobe,Fernkampfangriff,-6,1,30,31
Playboy51,Kampfprobe,Fernkampfangriff,15,0,-1,31
Playboy51,Kampfprobe,Fernkampfangriff,15,1,1,31
Playboy51,Kampfprobe,Fernkampfangriff,7,1,11,31
Playboy51,Kampfprobe,Fernkampfangriff,3,1,9,31
Playboy51,Kampfprobe,Fernkampfangriff,3,1,13,31
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,4,9
Playboy51,Kampfprobe,Finte m. SF,5,1,4,22
Playboy51,Kampfprobe,Gezieltes Ausweichen,-5,1,4,9
Playboy51,Kampfprobe,Finte m. SF,5,1,5,22
Playboy51,Kampfprobe,Finte m. SF,6,1,12,22
Playboy51,Kampfprobe,Finte m. SF,6,1,12,22
Playboy51,Kampfprobe,Finte m. SF,5,1,9,22
Playboy51,Kampfprobe,Finte m. SF,8,0,-1,22
Playboy51,Kampfprobe,Finte m. SF,8,1,2,22
Playboy51,Kampfprobe,Finte m. SF,6,1,15,22
Playboy51,Kampfprobe,Finte m. SF,6,1,4,22
Playboy51,Kampfprobe,Finte m. SF,6,1,8,22
Playboy51,Kampfprobe,Finte m. SF,6,1,5,22
Playboy51,Kampfprobe,Finte m. SF,7,1,7,22
Playboy51,Kampfprobe,Finte m. SF,6,1,5,22
Playboy51,Kampfprobe,Finte m. SF,6,1,9,22
Playboy51,Kampfprobe,Finte m. SF,4,1,15,22
Playboy51,Kampfprobe,Finte m. SF,6,1,14,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,4,1,4,22
Playboy51,Kampfprobe,Finte m. SF,4,1,8,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,6,0,-3,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,10,0,-2,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,6,1,0,22
Playboy51,Kampfprobe,Finte m. SF,7,1,10,22
Playboy51,Kampfprobe,Finte m. SF,7,0,-5,22
Playboy51,Kampfprobe,Finte m. SF,4,1,9,22
Playboy51,Kampfprobe,Finte m. SF,6,1,15,22
Playboy51,Kampfprobe,Nahkampfangriff,6,1,8,22
Playboy51,Kampfprobe,Wuchtschlag o. SF,8,1,3,22
Playboy51,Kampfprobe,Finte m. SF,7,1,7,22
Playboy51,Kampfprobe,Nahkampfangriff,6,1,11,22
Playboy51,Kampfprobe,Finte m. SF,6,0,-2,22
Playboy51,Kampfprobe,Finte m. SF,6,1,1,22
Playboy51,Kampfprobe,Nahkampfangriff,7,0,-5,22
Playboy51,Kampfprobe,Nahkampfangriff,6,0,-3,22
Playboy51,Kampfprobe,Finte m. SF,7,1,12,22
Playboy51,Kampfprobe,Nahkampfangriff,7,1,7,22
